Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
17 56924 0 1 1 5 2 J 1 1 1 1013 
17 56924 0 1 2 2 2 J 1 1 1 407 
17 56924 0 1 3 8 2 J 1 1 1 553 
17 56924 0 1 4 5 2 J 1 1 1 565 
17 56924 0 1 5 2 2 J 1 1 1 380 
17 56924 0 1 6 2 2 F 0 1 0 852 
17 56924 0 1 7 2 2 J 1 1 1 361 
17 56924 0 1 8 2 2 J 1 1 1 385 
17 56924 0 1 9 8 2 J 1 1 1 825 
17 56924 0 1 10 2 2 J 1 1 1 475 
17 56924 0 1 11 8 2 J 1 1 1 784 
17 56924 0 1 12 8 2 J 1 1 1 563 
17 56924 0 1 13 5 2 J 1 1 1 577 
17 56924 0 1 14 5 2 J 1 1 1 401 
17 56924 0 1 15 2 2 J 1 1 1 420 
17 56924 0 1 16 5 1 J 1 0 0 510 
17 56924 0 1 17 5 2 J 1 1 1 504 
17 56924 0 1 18 2 2 J 1 1 1 419 
17 56924 0 1 19 8 1 J 1 0 0 525 
17 56924 0 1 20 8 2 J 1 1 1 622 
17 56924 0 1 21 8 1 J 1 0 0 542 
17 56924 0 1 22 5 2 J 1 1 1 558 
17 56924 0 1 23 5 2 J 1 1 1 479 
17 56924 0 1 24 5 2 J 1 1 1 632 
17 56924 0 1 25 8 2 J 1 1 1 523 
17 56924 0 1 26 5 1 J 1 0 0 576 
17 56924 0 1 27 8 2 J 1 1 1 419 
17 56924 0 1 28 8 2 F 0 1 0 924 
17 56924 0 1 29 2 1 F 0 0 1 667 
17 56924 0 1 30 2 2 J 1 1 1 635 
17 56924 0 1 31 5 2 J 1 1 1 532 
17 56924 0 1 32 8 2 J 1 1 1 427 
17 56924 0 1 33 5 1 J 1 0 0 535 
17 56924 0 1 34 2 1 F 0 0 1 1026 
17 56924 0 1 35 8 1 J 1 0 0 752 
17 56924 0 1 36 8 2 J 1 1 1 622 
17 56924 0 1 37 8 2 J 1 1 1 546 
17 56924 0 1 38 2 2 F 0 1 0 806 
17 56924 0 1 39 8 2 J 1 1 1 771 
17 56924 0 1 40 5 2 J 1 1 1 473 
17 56924 0 1 41 2 2 J 1 1 1 380 
17 56924 0 1 42 5 2 J 1 1 1 463 
17 56924 0 1 43 5 2 J 1 1 1 486 
17 56924 0 1 44 2 2 J 1 1 1 372 
17 56924 0 1 45 5 2 J 1 1 1 807 
17 56924 0 1 46 2 2 J 1 1 1 491 
17 56924 0 1 47 8 2 J 1 1 1 505 
17 56924 0 1 48 5 2 F 0 1 0 1175 
17 56924 0 1 49 8 2 J 1 1 1 426 
17 56924 0 1 50 2 1 F 0 0 1 700 
17 56924 0 1 51 5 2 J 1 1 1 688 
17 56924 0 1 52 8 2 J 1 1 1 1327 
17 56924 0 1 53 2 2 J 1 1 1 563 
17 56924 0 1 54 5 2 J 1 1 1 608 
17 56924 0 1 55 2 2 J 1 1 1 363 
17 56924 0 1 56 8 2 J 1 1 1 519 
17 56924 0 1 57 2 2 J 1 1 1 349 
17 56924 0 1 58 8 2 J 1 1 1 563 
17 56924 0 1 59 5 2 J 1 1 1 328 
17 56924 0 1 60 2 2 J 1 1 1 549 
17 56924 4 2 1 2 1 F 0 0 1 806 
17 56924 4 2 2 5 2 F 0 1 0 427 
17 56924 4 2 3 8 1 F 0 0 1 740 
17 56924 4 2 4 8 1 F 0 0 1 827 
